test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,fetch_stores_scenario,00:00:26,global information,2951,2951,0,113.5,4.8,178.21,1050.93,142.59,240.38,433.92,705.02,138.68,2.422,2.422,2.422,6.979,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,fetch_stores_scenario,00:00:26,fetch_stores_step,2951,2951,0,113.5,4.8,178.21,1050.92,142.59,240.38,433.92,705.02,138.68,1.211,1.211,1.211,3.490,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,search_products_scenario,00:00:26,global information,795,795,0,30.58,124.77,666.83,2541.2,584.19,840.19,1295.36,1837.06,344.26,3.334,3.334,3.334,2.588,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,search_products_scenario,00:00:26,search_products_step,795,795,0,30.58,124.76,666.83,2541.2,584.19,840.19,1295.36,1837.06,344.26,1.667,1.667,1.667,1.294,0,0,0,0,0,0,0,0,0,0,0,0,0
