test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,fetch_stores_scenario,00:00:30,global information,3579,3579,0,119.3,4.68,165.91,1017.15,133.76,224.13,419.58,664.06,132.23,2.422,2.422,2.422,8.465,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,fetch_stores_scenario,00:00:30,fetch_stores_step,3579,3579,0,119.3,4.67,165.91,1017.15,133.76,224.13,419.58,664.06,132.23,1.211,1.211,1.211,4.232,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,search_products_scenario,00:00:30,global information,902,902,0,30.07,125.86,663.28,2814.86,573.95,803.33,1292.29,2000.9,343.21,3.334,3.334,3.334,2.937,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,search_products_scenario,00:00:30,search_products_step,902,902,0,30.07,125.85,663.28,2814.85,573.95,803.33,1292.29,2000.9,343.21,1.667,1.667,1.667,1.468,0,0,0,0,0,0,0,0,0,0,0,0,0
