test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,place_order_concurrency,00:00:05,global information,480,100,380,20,379.49,1288.44,2673.95,1011.71,1870.85,2373.63,2490.37,634,5.234,5.247,5.25,0.512,76,38.23,297.37,2601.82,152.7,357.38,931.84,1839.1,355.01,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,place_order_concurrency,00:00:05,place_order_step,480,100,380,20,379.48,1288.36,2673.93,1011.71,1870.85,2373.63,2490.37,634.05,2.617,2.623,2.625,0.256,76,38.16,297.21,2601.68,152.57,357.38,931.84,1838.08,354.98,1.040,1.040,1.040,0.386
