test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,place_order_concurrency,00:00:05,global information,210,100,110,20,357.11,1643.55,3714.95,1638.4,1966.08,3174.4,3715.07,740.55,5.217,5.230,5.232,0.511,22,137,747.23,4395.58,473.86,893.95,2021.38,4349.95,793.82,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,place_order_concurrency,00:00:05,place_order_step,210,100,110,20,357.06,1643.47,3714.94,1635.33,1966.08,3174.4,3715.07,740.55,2.608,2.615,2.616,0.255,22,136.91,747.02,4395.53,473.86,893.95,2021.38,4349.95,793.81,1.053,1.053,1.053,0.113
